title,artist,year,views,url
Try Me Remix,Montana of 300,2014,197940,https://genius.com/Montana-of-300-Try-Me-Remix-lyrics
Head Above Water,Avril Lavigne,2018,245863,https://genius.com/Avril-Lavigne-Head-Above-Water-lyrics
Jungle,Tash Sultana,2016,508343,https://genius.com/Tash-Sultana-Jungle-lyrics
The Great Gatsby Chapter II,F. Scott Fitzgerald,1925,447610,https://genius.com/F-Scott-Fitzgerald-The-Great-Gatsby-Chapter-II-lyrics
El Mañana,Gorillaz,2005,229538,https://genius.com/Gorillaz-El-Mañana-lyrics
In Cold Blood,alt-J,2017,344521,https://genius.com/altJ-In-Cold-Blood-lyrics
Notion,Tash Sultana,2016,285419,https://genius.com/Tash-Sultana-Notion-lyrics
Take a Bow,Rihanna,2008,269034,https://genius.com/Rihanna-Take-a-Bow-lyrics
New Flesh,Current Joys,2013,209264,https://genius.com/Current-Joys-New-Flesh-lyrics
Close,Nick Jonas,2016,196538,https://genius.com/Nick-Jonas-Close-lyrics
Pyramid Song,Radiohead,2001,196015,https://genius.com/Radiohead-Pyramid-Song-lyrics
Crushing,Sonta,2017,188482,https://genius.com/Sonta-Crushing-lyrics
You Got Me,G-Eazy,2015,354212,https://genius.com/GEazy-You-Got-Me-lyrics
Ooh Aah My Life Be Like,Grits,2002,244670,https://genius.com/Grits-Ooh-Aah-My-Life-Be-Like-lyrics
Devil Like Me,Rainbow Kitten Surprise,2013,310085,https://genius.com/Rainbow-Kitten-Surprise-Devil-Like-Me-lyrics
Fuck Em,Rick Ross,2012,209025,https://genius.com/Rick-Ross-Fuck-Em-lyrics
The Love Club,Lorde,2013,223597,https://genius.com/Lorde-The-Love-Club-lyrics
Run Taylors Version From the Vault,Taylor Swift,2021,206015,https://genius.com/Taylor-Swift-Run-Taylors-Version-From-the-Vault-lyrics
I Do,Jeezy,2012,373502,https://genius.com/Jeezy-I-Do-lyrics
Straight Outta Compton,N.W.A,1988,1625352,https://genius.com/NWA-Straight-Outta-Compton-lyrics
O.K.,Mac Miller,2013,197380,https://genius.com/Mac-Miller-OK-lyrics
Immigrant Song,Led Zeppelin,1970,494355,https://genius.com/Led-Zeppelin-Immigrant-Song-lyrics
A Thousand Times,Ella Mai,2016,207828,https://genius.com/Ella-Mai-A-Thousand-Times-lyrics
Leaves From The Vine Little Soldier Boy,Avatar: The Last Airbender,2006,908469,https://genius.com/Avatar-The-Last-Airbender-Leaves-From-The-Vine-Little-Soldier-Boy-lyrics
Cringe,Matt Maeson,2016,231651,https://genius.com/Matt-Maeson-Cringe-lyrics
Dive,Luke Combs,2018,240722,https://genius.com/Luke-Combs-Dive-lyrics
Red Room,Offset,2018,374369,https://genius.com/Offset-Red-Room-lyrics
KSI Sucks,W2S,2017,286269,https://genius.com/W2S-KSI-Sucks-lyrics
On a Roll,Ashley O,2019,389442,https://genius.com/Ashley-O-On-a-Roll-lyrics
Primetime,JAY-Z & Kanye West,2011,245652,https://genius.com/JAYZ-Kanye-West-Primetime-lyrics
Hopeless Romantic,Wiz Khalifa,2018,355539,https://genius.com/Wiz-Khalifa-Hopeless-Romantic-lyrics
It Aint Me,Kygo & Selena Gomez,2017,2682046,https://genius.com/Kygo-Selena-Gomez-It-Aint-Me-lyrics
Say Amen Saturday Night,Panic! at the Disco,2018,453114,https://genius.com/Panic-at-the-Disco-Say-Amen-Saturday-Night-lyrics
Look Whos Inside Again,Bo Burnham,2021,277812,https://genius.com/Bo-Burnham-Look-Whos-Inside-Again-lyrics
Lolita,Lana Del Rey,2012,327734,https://genius.com/Lana-Del-Rey-Lolita-lyrics
​bloodline,Ariana Grande,2019,964418,https://genius.com/Ariana-Grande-​bloodline-lyrics
Snow Hey Oh,Red Hot Chili Peppers,2006,478956,https://genius.com/Red-Hot-Chili-Peppers-Snow-Hey-Oh-lyrics
Havent Met You Yet,Michael Bubl,2009,200067,https://genius.com/Michael-Bubl-Havent-Met-You-Yet-lyrics
Lets Lurk,67,2016,221971,https://genius.com/67-Lets-Lurk-lyrics
Memories,Maroon 5,2019,1664429,https://genius.com/Maroon-5-Memories-lyrics
Thats My Best Friend,Tokyo Vanity,2015,359438,https://genius.com/Tokyo-Vanity-Thats-My-Best-Friend-lyrics
Crack a Bottle,Eminem,2009,399913,https://genius.com/Eminem-Crack-a-Bottle-lyrics
Good for You,Selena Gomez,2015,700382,https://genius.com/Selena-Gomez-Good-for-You-lyrics
Hello,Original Broadway Cast of The Book of Mormon,2011,362168,https://genius.com/Original-Broadway-Cast-of-The-Book-of-Mormon-Hello-lyrics
Miss It,Yung Bleu,2017,554185,https://genius.com/Yung-Bleu-Miss-It-lyrics
Sober,Demi Lovato,2018,646341,https://genius.com/Demi-Lovato-Sober-lyrics
Suicide Is Painless,Johnny Mandel,1970,237236,https://genius.com/Johnny-Mandel-Suicide-Is-Painless-lyrics
Someday,Milo Manheim & Meg Donnelly,2018,262305,https://genius.com/Milo-Manheim-Meg-Donnelly-Someday-lyrics
Neon Cathedral,Macklemore & Ryan Lewis,2012,288795,https://genius.com/Macklemore-Ryan-Lewis-Neon-Cathedral-lyrics
Mo Money Interlude,J. Cole,2013,320058,https://genius.com/J-Cole-Mo-Money-Interlude-lyrics
OverHeated,Billie Eilish,2021,250238,https://genius.com/Billie-Eilish-OverHeated-lyrics
Drip or Drown,Gunna,2017,367052,https://genius.com/Gunna-Drip-or-Drown-lyrics
Hard Place,H.E.R.,2018,188354,https://genius.com/HER-Hard-Place-lyrics
Johnny B. Goode,Chuck Berry,1958,237389,https://genius.com/Chuck-Berry-Johnny-B-Goode-lyrics
Lost in Your Light,Dua Lipa,2017,188531,https://genius.com/Dua-Lipa-Lost-in-Your-Light-lyrics
​everything i wanted,Billie Eilish,2019,3210364,https://genius.com/Billie-Eilish-​everything-i-wanted-lyrics
Your Shirt,Chelsea Cutler,2017,323076,https://genius.com/Chelsea-Cutler-Your-Shirt-lyrics
Supalonely,BENEE,2019,326275,https://genius.com/BENEE-Supalonely-lyrics
Two Birds One Stone,Drake,2016,1006388,https://genius.com/Drake-Two-Birds-One-Stone-lyrics
M.I.L.F. $,Fergie,2016,287876,https://genius.com/Fergie-MILF-lyrics
Rappin for Jesus,Pastor Jim Colerick,2013,973359,https://genius.com/Pastor-Jim-Colerick-Rappin-for-Jesus-lyrics
Daddys Birthday,Young Thug,2017,222082,https://genius.com/Young-Thug-Daddys-Birthday-lyrics
BRACKETS,J. Cole,2018,574161,https://genius.com/J-Cole-BRACKETS-lyrics
I Love You So,The Walters,2014,509864,https://genius.com/The-Walters-I-Love-You-So-lyrics
Working for the Knife,Mitski,2021,274816,https://genius.com/Mitski-Working-for-the-Knife-lyrics
Kamikaze,Beatrice Garland,2013,236761,https://genius.com/Beatrice-Garland-Kamikaze-lyrics
Time,Pink Floyd,1973,1200627,https://genius.com/Pink-Floyd-Time-lyrics
What Do I Know?,Ed Sheeran,2017,387148,https://genius.com/Ed-Sheeran-What-Do-I-Know-lyrics
Erica Kane,Speaker Knockerz,2014,191467,https://genius.com/Speaker-Knockerz-Erica-Kane-lyrics
BLACKPINK - 아니길 Hope Not English Translation,Genius English Translations,2019,244250,https://genius.com/Genius-English-Translations-BLACKPINK-아니길-Hope-Not-English-Translation-lyrics
Love To Hate Me,BLACKPINK,2020,650567,https://genius.com/BLACKPINK-Love-To-Hate-Me-lyrics
Talk to Me,Run The Jewels,2016,192082,https://genius.com/Run-The-Jewels-Talk-to-Me-lyrics
Lion King on Ice,J. Cole,2020,399616,https://genius.com/J-Cole-Lion-King-on-Ice-lyrics
Headband,B.o.B,2013,827428,https://genius.com/BoB-Headband-lyrics
Hello,Lionel Richie,1983,650988,https://genius.com/Lionel-Richie-Hello-lyrics
Faith,The Weeknd,2020,972866,https://genius.com/The-Weeknd-Faith-lyrics
Malibu Nights,LANY,2018,663770,https://genius.com/LANY-Malibu-Nights-lyrics
Imagine,John Lennon,1971,1488663,https://genius.com/John-Lennon-Imagine-lyrics
Love More,Chris Brown,2013,1130170,https://genius.com/Chris-Brown-Love-More-lyrics
​right here,Lil Peep,2016,634456,https://genius.com/Lil-Peep-​right-here-lyrics
Off My Face,Justin Bieber,2021,255570,https://genius.com/Justin-Bieber-Off-My-Face-lyrics
Ziggy Stardust,David Bowie,1972,223023,https://genius.com/David-Bowie-Ziggy-Stardust-lyrics
Fitzpleasure,alt-J,2012,341904,https://genius.com/altJ-Fitzpleasure-lyrics
Come as You Are,Nirvana,1992,976296,https://genius.com/Nirvana-Come-as-You-Are-lyrics
Waves,Mr. Probz,2013,1089333,https://genius.com/Mr-Probz-Waves-lyrics
Cameras,Drake,2011,1050604,https://genius.com/Drake-Cameras-lyrics
No Long Talk,Drake,2017,728248,https://genius.com/Drake-No-Long-Talk-lyrics
Tell Your Friends,The Weeknd,2015,1476121,https://genius.com/The-Weeknd-Tell-Your-Friends-lyrics
For the First Time in Forever Reprise,Kristen Bell & Idina Menzel,2013,267627,https://genius.com/Kristen-Bell-Idina-Menzel-For-the-First-Time-in-Forever-Reprise-lyrics
Jimmy Iovine,Macklemore & Ryan Lewis,2012,298906,https://genius.com/Macklemore-Ryan-Lewis-Jimmy-Iovine-lyrics
​august,Taylor Swift,2020,1746009,https://genius.com/Taylor-Swift-​august-lyrics
Everything Black,Unlike Pluto,2017,227526,https://genius.com/Unlike-Pluto-Everything-Black-lyrics
A92 Plugged In Freestyle,A92,2020,382994,https://genius.com/A92-A92-Plugged-In-Freestyle-lyrics
Dont Hurt Yourself,Beyonc,2016,928151,https://genius.com/Beyonc-Dont-Hurt-Yourself-lyrics
Be the One,Be the One Lyrics - Dua Lipa,2015,659935,https://genius.com/Be-the-One-Lyrics-Dua-Lipa-Be-the-One-lyrics
Best of Wives and Best of Women,Best of Wives and Best of Women Lyrics - Lin-Manuel Miranda & Phillipa Soo,2015,431364,https://genius.com/Best-of-Wives-and-Best-of-Women-Lyrics-LinManuel-Miranda-Phillipa-Soo-Best-of-Wives-and-Best-of-Women-lyrics
Sex,Cheat Codes & Kris Kross Amsterdam,2016,354143,https://genius.com/Cheat-Codes-Kris-Kross-Amsterdam-Sex-lyrics
PRBLMS,6LACK,2016,2190419,https://genius.com/6LACK-PRBLMS-lyrics
The Heart Part 4,Kendrick Lamar,2017,1706445,https://genius.com/Kendrick-Lamar-The-Heart-Part-4-lyrics
Isis,Joyner Lucas,2019,1368885,https://genius.com/Joyner-Lucas-Isis-lyrics
Lord I Need You,Kanye West,2021,411602,https://genius.com/Kanye-West-Lord-I-Need-You-lyrics
Use Somebody,Kings of Leon,2008,302669,https://genius.com/Kings-of-Leon-Use-Somebody-lyrics
Antarctica,$UICIDEBOY$,2016,1039555,https://genius.com/UICIDEBOY-Antarctica-lyrics
Million,Tink,2015,272906,https://genius.com/Tink-Million-lyrics
Careless Whisper,Wham!,1984,771846,https://genius.com/Wham-Careless-Whisper-lyrics
Girls Born in the 90s,The Weeknd,2015,276131,https://genius.com/The-Weeknd-Girls-Born-in-the-90s-lyrics
SMASH,XXXTENTACION,2018,274262,https://genius.com/XXXTENTACION-SMASH-lyrics
Temporary,A Boogie wit da Hoodie,2014,249023,https://genius.com/A-Boogie-wit-da-Hoodie-Temporary-lyrics
Class Fight,Melanie Martinez,2019,265724,https://genius.com/Melanie-Martinez-Class-Fight-lyrics
We Didnt Start the Fire,Billy Joel,1989,1543365,https://genius.com/Billy-Joel-We-Didnt-Start-the-Fire-lyrics
Face to Face,Rex Orange County,2019,243308,https://genius.com/Rex-Orange-County-Face-to-Face-lyrics
Affirmative Action,Nas,1996,387651,https://genius.com/Nas-Affirmative-Action-lyrics
Who Am I? Sim Simma,Beenie Man,1997,216254,https://genius.com/Beenie-Man-Who-Am-I-Sim-Simma-lyrics
Lit,Bas,2013,364353,https://genius.com/Bas-Lit-lyrics
Strange Love,Strange Love Lyrics - Halsey,2015,208371,https://genius.com/Strange-Love-Lyrics-Halsey-Strange-Love-lyrics
VENGEANCE | VENGEANCE,Denzel Curry,2018,339142,https://genius.com/Denzel-Curry-VENGEANCE-VENGEANCE-lyrics
Love Is Poison,YoungBoy Never Broke Again,2018,588900,https://genius.com/YoungBoy-Never-Broke-Again-Love-Is-Poison-lyrics
Kyoto,Phoebe Bridgers,2020,379582,https://genius.com/Phoebe-Bridgers-Kyoto-lyrics
Thot Box Remix,Hitmaka,2019,271404,https://genius.com/Hitmaka-Thot-Box-Remix-lyrics
Into the Deep Live,Citipointe Worship,2016,194243,https://genius.com/Citipointe-Worship-Into-the-Deep-Live-lyrics
Hold You Down,Childish Gambino,2011,234513,https://genius.com/Childish-Gambino-Hold-You-Down-lyrics
Get Back,The Beatles,1970,209908,https://genius.com/The-Beatles-Get-Back-lyrics
That Way,Lil Uzi Vert,2020,592475,https://genius.com/Lil-Uzi-Vert-That-Way-lyrics
I Got Bitches,A2M,2014,565051,https://genius.com/A2M-I-Got-Bitches-lyrics
Epitaph,King Crimson,1969,189155,https://genius.com/King-Crimson-Epitaph-lyrics
Talking to the Moon,Bruno Mars,2010,517804,https://genius.com/Bruno-Mars-Talking-to-the-Moon-lyrics
Sober,Mahalia,2017,300764,https://genius.com/Mahalia-Sober-lyrics
Hit or Miss,Jacob Sartorius,2016,663607,https://genius.com/Jacob-Sartorius-Hit-or-Miss-lyrics
The Time Song,Don't Hug Me I'm Scared,2014,216067,https://genius.com/Dont-Hug-Me-Im-Scared-The-Time-Song-lyrics
​dear parents...,Tate McRae,2019,217695,https://genius.com/Tate-McRae-​dear-parents-lyrics
That’s a Rack,Lil Uzi Vert,2019,412849,https://genius.com/Lil-Uzi-Vert-That’s-a-Rack-lyrics
Jerry Sprunger,Tory Lanez & T-Pain,2019,201444,https://genius.com/Tory-Lanez-TPain-Jerry-Sprunger-lyrics
Peek a Boo,Lil Yachty,2017,527581,https://genius.com/Lil-Yachty-Peek-a-Boo-lyrics
Get Money,Junior M.A.F.I.A.,1995,466819,https://genius.com/Junior-MAFIA-Get-Money-lyrics
Heat,50 Cent,2003,259638,https://genius.com/50-Cent-Heat-lyrics
Skyline To,Frank Ocean,2016,635806,https://genius.com/Frank-Ocean-Skyline-To-lyrics
Joan of Arc,Little Mix,2018,225395,https://genius.com/Little-Mix-Joan-of-Arc-lyrics
Welcome to the Jungle,Guns N' Roses,1987,567528,https://genius.com/Guns-N-Roses-Welcome-to-the-Jungle-lyrics
Birthday Sex,Jeremih,2009,375812,https://genius.com/Jeremih-Birthday-Sex-lyrics
You Say,Lauren Daigle,2018,586342,https://genius.com/Lauren-Daigle-You-Say-lyrics
You Shook Me All Night Long,AC/DC,1980,211502,https://genius.com/ACDC-You-Shook-Me-All-Night-Long-lyrics
The One,Jorja Smith,2018,212278,https://genius.com/Jorja-Smith-The-One-lyrics
Blessing,K CAMP,2013,286355,https://genius.com/K-CAMP-Blessing-lyrics
Black Hole Sun,Soundgarden,1994,481531,https://genius.com/Soundgarden-Black-Hole-Sun-lyrics
Old Town Road,Lil Nas X,2018,2434783,https://genius.com/Lil-Nas-X-Old-Town-Road-lyrics
Strawberry Shortcake,Melanie Martinez,2019,361285,https://genius.com/Melanie-Martinez-Strawberry-Shortcake-lyrics
Encore,JAY-Z,2003,404941,https://genius.com/JAYZ-Encore-lyrics
All That Lady,The Game,2012,222518,https://genius.com/The-Game-All-That-Lady-lyrics
Lecture 1: How to Start a Startup,Sam Altman,2014,245098,https://genius.com/Sam-Altman-Lecture-1-How-to-Start-a-Startup-lyrics
Skyfall,Travis Scott,2014,696029,https://genius.com/Travis-Scott-Skyfall-lyrics
Successful,Drake,2009,477729,https://genius.com/Drake-Successful-lyrics
Space Song,Beach House,2015,445814,https://genius.com/Beach-House-Space-Song-lyrics
Feeling Myself,Nicki Minaj,2015,3051350,https://genius.com/Nicki-Minaj-Feeling-Myself-lyrics
Roses,The Chainsmokers,2015,668297,https://genius.com/The-Chainsmokers-Roses-lyrics
Bitch,Ugly God,2017,194312,https://genius.com/Ugly-God-Bitch-lyrics
Myron,Lil Uzi Vert,2020,1024934,https://genius.com/Lil-Uzi-Vert-Myron-lyrics
Exs  Ohs,Elle King,2014,469442,https://genius.com/Elle-King-Exs-Ohs-lyrics
Kim,Eminem,2000,923493,https://genius.com/Eminem-Kim-lyrics
Bonnie,Tink,2012,194144,https://genius.com/Tink-Bonnie-lyrics
All I Want,Kodaline,2013,971171,https://genius.com/Kodaline-All-I-Want-lyrics
ELEMENT.,Kendrick Lamar,2017,2899477,https://genius.com/Kendrick-Lamar-ELEMENT-lyrics
The Pinkprint Freestyle,Nicki Minaj,2016,291936,https://genius.com/Nicki-Minaj-The-Pinkprint-Freestyle-lyrics
March Madness,Future,2015,1732920,https://genius.com/Future-March-Madness-lyrics
Cigarette Daydreams,Cage The Elephant,2013,553799,https://genius.com/Cage-The-Elephant-Cigarette-Daydreams-lyrics
Doubt,twenty one pilots,2015,383911,https://genius.com/twenty-one-pilots-Doubt-lyrics
Kill Your$elf,$UICIDEBOY$,2014,254991,https://genius.com/UICIDEBOY-Kill-Yourelf-lyrics
Brooklyn Go Hard,JAY-Z,2008,261382,https://genius.com/JAYZ-Brooklyn-Go-Hard-lyrics
Straightjacket,Quinn XCII,2016,192177,https://genius.com/Quinn-XCII-Straightjacket-lyrics
Max B,A$AP Rocky,2015,201188,https://genius.com/AAP-Rocky-Max-B-lyrics
Borrowed Love,Metro Boomin,2018,222351,https://genius.com/Metro-Boomin-Borrowed-Love-lyrics
Oprahs Bank Account,Lil Yachty & DaBaby,2020,295724,https://genius.com/Lil-Yachty-DaBaby-Oprahs-Bank-Account-lyrics
Love All,Drake,2021,683272,https://genius.com/Drake-Love-All-lyrics
Moment 4 Life,Nicki Minaj,2010,679347,https://genius.com/Nicki-Minaj-Moment-4-Life-lyrics
Donda,Kanye West,2021,614798,https://genius.com/Kanye-West-Donda-lyrics
I Love the Dough,The Notorious B.I.G.,1997,190378,https://genius.com/The-Notorious-BIG-I-Love-the-Dough-lyrics
Let It Go,A$AP Ferg,2013,257580,https://genius.com/AAP-Ferg-Let-It-Go-lyrics
Molly,Molly Lyrics - Lil Dicky,2015,620464,https://genius.com/Molly-Lyrics-Lil-Dicky-Molly-lyrics
Kaleidoscope World,Francis M.,1995,214865,https://genius.com/Francis-M-Kaleidoscope-World-lyrics
Baby Im Yours,Breakbot,2010,377610,https://genius.com/Breakbot-Baby-Im-Yours-lyrics
​play this when im gone,Machine Gun Kelly,2020,252610,https://genius.com/Machine-Gun-Kelly-​play-this-when-im-gone-lyrics
Pure Cocaine,Lil Baby,2018,370989,https://genius.com/Lil-Baby-Pure-Cocaine-lyrics
Andromeda,Ghostemane,2016,280581,https://genius.com/Ghostemane-Andromeda-lyrics
Hallelujah,Leonard Cohen,1984,3810370,https://genius.com/Leonard-Cohen-Hallelujah-lyrics
Bonesaw,Ghostemane,2018,243739,https://genius.com/Ghostemane-Bonesaw-lyrics
Prices,Lil Uzi Vert,2020,339555,https://genius.com/Lil-Uzi-Vert-Prices-lyrics
Loaded Lux vs. Calicoe,URLtv,2012,199356,https://genius.com/URLtv-Loaded-Lux-vs-Calicoe-lyrics
BTS - 바다 Sea English Translation,Genius English Translations,2017,362509,https://genius.com/Genius-English-Translations-BTS-바다-Sea-English-Translation-lyrics
The Fever Aye Aye,Death Grips,2012,226710,https://genius.com/Death-Grips-The-Fever-Aye-Aye-lyrics
Lost Boy,Ruth B.,2015,848615,https://genius.com/Ruth-B-Lost-Boy-lyrics
Young Wild  Free,Snoop Dogg & Wiz Khalifa,2011,788272,https://genius.com/Snoop-Dogg-Wiz-Khalifa-Young-Wild-Free-lyrics
Halfway Off the Balcony,Big Sean,2017,302086,https://genius.com/Big-Sean-Halfway-Off-the-Balcony-lyrics
Confidently Lost,Sabrina Claudio,2016,217747,https://genius.com/Sabrina-Claudio-Confidently-Lost-lyrics
​God is a woman,Ariana Grande,2018,3300453,https://genius.com/Ariana-Grande-​God-is-a-woman-lyrics
The Story of Adidon,Pusha T,2018,2387521,https://genius.com/Pusha-T-The-Story-of-Adidon-lyrics
Nobodys Perfect,J. Cole,2012,1034835,https://genius.com/J-Cole-Nobodys-Perfect-lyrics
Payphone,Maroon 5,2012,993951,https://genius.com/Maroon-5-Payphone-lyrics
FUCKTHEPOPULATION,$UICIDEBOY$,2015,497122,https://genius.com/UICIDEBOY-FUCKTHEPOPULATION-lyrics
Magic,B.o.B,2010,246283,https://genius.com/BoB-Magic-lyrics
Lucky,Jason Mraz & Colbie Caillat,2009,265237,https://genius.com/Jason-Mraz-Colbie-Caillat-Lucky-lyrics
Video Games,Lana Del Rey,2011,987462,https://genius.com/Lana-Del-Rey-Video-Games-lyrics
Jealous,Labrinth,2014,988109,https://genius.com/Labrinth-Jealous-lyrics
In2,WSTRN,2015,532396,https://genius.com/WSTRN-In2-lyrics
Krazy,Lil Wayne,2014,216561,https://genius.com/Lil-Wayne-Krazy-lyrics
BTS - 욱 UGH English Translation,Genius English Translations,2020,535430,https://genius.com/Genius-English-Translations-BTS-욱-UGH-English-Translation-lyrics
Burn Rubber Again,AzChike,2017,386017,https://genius.com/AzChike-Burn-Rubber-Again-lyrics
Can You Keep Up?,Busta Rhymes,2011,187822,https://genius.com/Busta-Rhymes-Can-You-Keep-Up-lyrics
Sofia,Clairo,2019,591946,https://genius.com/Clairo-Sofia-lyrics
Handlebars,Flobots,2008,234905,https://genius.com/Flobots-Handlebars-lyrics
Partition,Beyonc,2013,3151316,https://genius.com/Beyonc-Partition-lyrics
Blow,"Tyler, The Creator",2009,196516,https://genius.com/Tyler-The-Creator-Blow-lyrics
​wRoNg,ZAYN,2016,214792,https://genius.com/ZAYN-​wRoNg-lyrics
Pumpkins Scream in the Dead of Night,Savage Ga$p,2018,300278,https://genius.com/Savage-Gap-Pumpkins-Scream-in-the-Dead-of-Night-lyrics
Sacrifices,Drake,2017,1192681,https://genius.com/Drake-Sacrifices-lyrics
ROCKABYE BABY,Joey Bada$$,2017,230269,https://genius.com/Joey-Bada-ROCKABYE-BABY-lyrics
STAR,BROCKHAMPTON,2017,600522,https://genius.com/BROCKHAMPTON-STAR-lyrics
Dont Tell Em,Jeremih,2014,1100616,https://genius.com/Jeremih-Dont-Tell-Em-lyrics
Like You,Tatiana Manaois,2015,231129,https://genius.com/Tatiana-Manaois-Like-You-lyrics
Love Me More,Trippie Redd,2019,210621,https://genius.com/Trippie-Redd-Love-Me-More-lyrics
Scarborough Fair/Canticle,Simon & Garfunkel,1966,218795,https://genius.com/Simon-Garfunkel-Scarborough-FairCanticle-lyrics
Dont Drop That Thun Thun Remix,Finatticz,2012,258470,https://genius.com/Finatticz-Dont-Drop-That-Thun-Thun-Remix-lyrics
Gods Plan,Drake,2018,9107059,https://genius.com/Drake-Gods-Plan-lyrics
Un Poco Loco,Anthony Gonzalez & Gael Garca Bernal,2017,466672,https://genius.com/Anthony-Gonzalez-Gael-Garca-Bernal-Un-Poco-Loco-lyrics
Best Part of Me,Ed Sheeran,2019,207426,https://genius.com/Ed-Sheeran-Best-Part-of-Me-lyrics
​good 4 u,Olivia Rodrigo,2021,2486863,https://genius.com/Olivia-Rodrigo-​good-4-u-lyrics
All of the Lights Remix,Kanye West,2011,210544,https://genius.com/Kanye-West-All-of-the-Lights-Remix-lyrics
St. Brick Intro,Gucci Mane,2016,205940,https://genius.com/Gucci-Mane-St-Brick-Intro-lyrics
This Is America,Childish Gambino,2018,5269925,https://genius.com/Childish-Gambino-This-Is-America-lyrics
Overwhelming,Matt Ox,2017,251546,https://genius.com/Matt-Ox-Overwhelming-lyrics
JOUVERT,BROCKHAMPTON,2018,360754,https://genius.com/BROCKHAMPTON-JOUVERT-lyrics
Mojo So Dope,Kid Cudi,2010,338343,https://genius.com/Kid-Cudi-Mojo-So-Dope-lyrics
5000 Candles in the Wind Bye Bye Li’l Sebastian,Mouse Rat,2011,247735,https://genius.com/Mouse-Rat-5000-Candles-in-the-Wind-Bye-Bye-Li’l-Sebastian-lyrics
Big Rings,Drake & Future,2015,1067403,https://genius.com/Drake-Future-Big-Rings-lyrics
Your Love,The Outfield,1986,236105,https://genius.com/The-Outfield-Your-Love-lyrics
Into the Unknown,Idina Menzel & AURORA,2019,597951,https://genius.com/Idina-Menzel-AURORA-Into-the-Unknown-lyrics
Beautiful Crazy,Luke Combs,2018,214650,https://genius.com/Luke-Combs-Beautiful-Crazy-lyrics
Malibu,Miley Cyrus,2017,1034733,https://genius.com/Miley-Cyrus-Malibu-lyrics
Beautiful Mistakes,Maroon 5 & Megan Thee Stallion,2021,342449,https://genius.com/Maroon-5-Megan-Thee-Stallion-Beautiful-Mistakes-lyrics
​​party favor,Billie Eilish,2017,560047,https://genius.com/Billie-Eilish-​​party-favor-lyrics
​monster,21 Savage,2018,502420,https://genius.com/21-Savage-​monster-lyrics
Back to Back,Drake,2015,4970613,https://genius.com/Drake-Back-to-Back-lyrics
Be Happy,Dixie,2020,624562,https://genius.com/Dixie-Be-Happy-lyrics
New Americana,Halsey,2015,593492,https://genius.com/Halsey-New-Americana-lyrics
Not the Only One,Kevin Gates,2016,303099,https://genius.com/Kevin-Gates-Not-the-Only-One-lyrics
Blame It On Me,Post Malone,2018,324137,https://genius.com/Post-Malone-Blame-It-On-Me-lyrics
Happy,Pharrell Williams,2013,2047342,https://genius.com/Pharrell-Williams-Happy-lyrics
Pennyroyal,Joey Bada$$,2012,194820,https://genius.com/Joey-Bada-Pennyroyal-lyrics
EX,Kiana Led,2018,339607,https://genius.com/Kiana-Led-EX-lyrics
Hot in Herre,Nelly,2002,327709,https://genius.com/Nelly-Hot-in-Herre-lyrics
’93 ’Til Infinity,Souls of Mischief,1993,276655,https://genius.com/Souls-of-Mischief-’93-’Til-Infinity-lyrics
Commitment Issues,Central Cee,2021,214337,https://genius.com/Central-Cee-Commitment-Issues-lyrics
The Fix,The Fix Lyrics - Nelly,2015,352099,https://genius.com/The-Fix-Lyrics-Nelly-The-Fix-lyrics
Lean Back,Terror Squad,2004,220400,https://genius.com/Terror-Squad-Lean-Back-lyrics
Ocean Man,Ween,1997,247931,https://genius.com/Ween-Ocean-Man-lyrics
Heathens,twenty one pilots,2016,2899906,https://genius.com/twenty-one-pilots-Heathens-lyrics
Hotel Room Service,Pitbull,2009,202332,https://genius.com/Pitbull-Hotel-Room-Service-lyrics
Grown Woman,PARTYNEXTDOOR,2014,195806,https://genius.com/PARTYNEXTDOOR-Grown-Woman-lyrics
Pretty Girl,Clairo,2017,471268,https://genius.com/Clairo-Pretty-Girl-lyrics
New Level,A$AP Ferg,2015,314859,https://genius.com/AAP-Ferg-New-Level-lyrics
​fast,Sueco,2019,346885,https://genius.com/Sueco-​fast-lyrics
RM - 비싼여자 Expensive Girl Cover English Translation,Genius English Translations,2009,219072,https://genius.com/Genius-English-Translations-RM-비싼여자-Expensive-Girl-Cover-English-Translation-lyrics
Evil Twin,Eminem,2013,923007,https://genius.com/Eminem-Evil-Twin-lyrics
My Choppa Hate Niggas,21 Savage & Metro Boomin,2017,265107,https://genius.com/21-Savage-Metro-Boomin-My-Choppa-Hate-Niggas-lyrics
F.N,Lil Tjay,2019,1130282,https://genius.com/Lil-Tjay-FN-lyrics
DARK PLACE demo,Juice WRLD,2017,210118,https://genius.com/Juice-WRLD-DARK-PLACE-demo-lyrics
How Did I Get Here,Offset,2019,188975,https://genius.com/Offset-How-Did-I-Get-Here-lyrics
Cruise Remix,Florida Georgia Line,2013,206706,https://genius.com/Florida-Georgia-Line-Cruise-Remix-lyrics
Red Velvet - Psycho English Translation,Genius English Translations,2019,251180,https://genius.com/Genius-English-Translations-Red-Velvet-Psycho-English-Translation-lyrics
100it Racks,DJ ESCO,2016,303845,https://genius.com/DJ-ESCO-100it-Racks-lyrics
East Atlanta Love Letter,6LACK,2018,255236,https://genius.com/6LACK-East-Atlanta-Love-Letter-lyrics
