title,artist,year,views,url
Show Out,"Kid Cudi, Skepta & Pop Smoke",2020,215830,https://genius.com/Kid-Cudi-Skepta-Pop-Smoke-Show-Out-lyrics
November Rain,Guns N' Roses,1991,530668,https://genius.com/Guns-N-Roses-November-Rain-lyrics
Promises,Jhen Aiko,2014,437656,https://genius.com/Jhen-Aiko-Promises-lyrics
Ride Slow,Russ,2017,399624,https://genius.com/Russ-Ride-Slow-lyrics
Crep Shop,RV,2019,227205,https://genius.com/RV-Crep-Shop-lyrics
The Rains of Castamere,George R. R. Martin,2019,272031,https://genius.com/George-R-R-Martin-The-Rains-of-Castamere-lyrics
God Only Knows,The Beach Boys,1966,267949,https://genius.com/The-Beach-Boys-God-Only-Knows-lyrics
ARE WE STILL FRIENDS?,"Tyler, The Creator",2019,537429,https://genius.com/Tyler-The-Creator-ARE-WE-STILL-FRIENDS-lyrics
Off da Zoinkys,JID,2018,205979,https://genius.com/JID-Off-da-Zoinkys-lyrics
The Way Life Goes,Lil Uzi Vert,2017,1955435,https://genius.com/Lil-Uzi-Vert-The-Way-Life-Goes-lyrics
This Town,Niall Horan,2016,786267,https://genius.com/Niall-Horan-This-Town-lyrics
BTS 방탄소년단 - Blue  Grey English Translation,Genius English Translations,2020,1001782,https://genius.com/Genius-English-Translations-BTS-방탄소년단-Blue-Grey-English-Translation-lyrics
Never Love Again,Eminem,2020,360321,https://genius.com/Eminem-Never-Love-Again-lyrics
Episode 3: Leakin Park,Serial Podcast,2014,190680,https://genius.com/Serial-Podcast-Episode-3-Leakin-Park-lyrics
From Time,Drake,2013,3799321,https://genius.com/Drake-From-Time-lyrics
Wasting Time,Brent Faiyaz,2021,193555,https://genius.com/Brent-Faiyaz-Wasting-Time-lyrics
Can It Be All So Simple / Intermission,Wu-Tang Clan,1993,282307,https://genius.com/WuTang-Clan-Can-It-Be-All-So-Simple-Intermission-lyrics
​la di die,Nessa Barrett,2021,257538,https://genius.com/Nessa-Barrett-​la-di-die-lyrics
Im Sorry,Joyner Lucas,2016,1160556,https://genius.com/Joyner-Lucas-Im-Sorry-lyrics
Get Right Witcha,Migos,2017,711562,https://genius.com/Migos-Get-Right-Witcha-lyrics
2K FREESTYLE,Lazarus! (US),2020,259417,https://genius.com/Lazarus-US-2K-FREESTYLE-lyrics
Hard Feelings/Loveless,Lorde,2017,571775,https://genius.com/Lorde-Hard-FeelingsLoveless-lyrics
Why Are Sundays So Depressing?,The Strokes,2020,273288,https://genius.com/The-Strokes-Why-Are-Sundays-So-Depressing-lyrics
Heather X Eyes Blue Rewrite,Fran Vasili,2020,216812,https://genius.com/Fran-Vasili-Heather-X-Eyes-Blue-Rewrite-lyrics
Help,The Beatles,1965,345226,https://genius.com/The-Beatles-Help-lyrics
Green Light,Lorde,2017,1016734,https://genius.com/Lorde-Green-Light-lyrics
