iter	Passed	Remaining
402	13699	20295
403	13734	20262
404	13770	20231
405	13803	20195
406	13836	20159
407	13870	20125
408	13907	20096
409	13940	20060
410	13971	20022
411	14007	19991
412	14040	19956
413	14074	19922
414	14108	19887
415	14144	19856
416	14177	19821
417	14212	19789
418	14247	19756
419	14280	19721
420	14316	19689
421	14352	19657
422	14390	19629
423	14425	19596
424	14460	19563
425	14491	19526
426	14527	19495
427	14562	19462
428	14596	19427
429	14630	19394
430	14667	19363
431	14701	19329
432	14736	19296
433	14771	19263
434	14802	19226
435	14838	19194
436	14875	19165
437	14909	19130
438	14943	19096
439	14979	19064
440	15013	19031
441	15048	18998
442	15082	18964
443	15118	18932
444	15152	18897
445	15185	18862
446	15218	18827
447	15252	18793
448	15287	18760
449	15325	18731
450	15358	18695
451	15390	18658
452	15426	18627
453	15461	18594
454	15495	18559
455	15529	18526
456	15563	18492
457	15598	18459
458	15632	18425
459	15668	18393
460	15701	18358
461	15737	18326
462	15773	18294
463	15805	18257
464	15839	18224
465	15872	18188
466	15907	18156
467	15941	18121
468	15976	18089
469	16011	18055
470	16045	18021
471	16081	17990
472	16114	17953
473	16148	17920
474	16183	17887
475	16218	17853
476	16251	17818
477	16287	17786
478	16322	17753
479	16355	17718
480	16390	17685
481	16427	17654
482	16460	17619
483	16495	17585
484	16529	17551
485	16563	17518
486	16603	17490
487	16638	17456
488	16670	17420
489	16704	17385
490	16741	17355
491	16776	17322
492	16831	17309
493	16865	17274
494	16899	17240
495	16960	17234
496	16999	17204
497	17030	17166
498	17065	17133
499	17097	17097
500	17130	17061
501	17163	17027
502	17198	16993
503	17248	16974
504	17285	16943
505	17319	16909
506	17356	16876
507	17394	16846
508	17426	16810
509	17461	16776
510	17498	16744
511	17531	16709
512	17565	16674
513	17602	16643
514	17636	16609
515	17670	16574
516	17707	16543
517	17741	16508
518	17777	16475
519	17814	16444
520	17848	16410
521	17882	16374
522	17917	16341
523	17952	16308
524	17988	16275
525	18021	16239
526	18056	16206
527	18089	16170
528	18123	16136
529	18161	16105
530	18194	16070
531	18230	16037
532	18266	16004
533	18301	15971
534	18337	15938
535	18375	15906
536	18413	15875
537	18447	15841
538	18482	15807
539	18518	15774
540	18551	15739
541	18585	15705
542	18618	15669
543	18653	15636
544	18691	15604
545	18724	15569
546	18760	15536
547	18795	15502
548	18830	15469
549	18864	15434
550	18899	15400
551	18935	15367
552	18970	15334
553	19003	15299
554	19041	15267
555	19073	15231
556	19108	15197
557	19145	15165
558	19176	15128
559	19211	15094
560	19246	15060
561	19277	15024
562	19311	14989
563	19347	14956
564	19382	14922
565	19418	14890
566	19455	14857
567	19490	14823
568	19523	14788
569	19560	14756
570	19597	14723
571	19633	14690
572	19669	14658
573	19704	14623
574	19737	14588
575	19775	14557
576	19809	14522
577	19842	14487
578	19878	14454
579	19915	14421
580	19948	14386
581	19988	14355
582	20025	14323
583	20060	14289
584	20095	14255
585	20130	14221
586	20166	14188
587	20202	14155
588	20238	14122
589	20272	14087
590	20310	14055
591	20345	14021
592	20379	13987
593	20414	13953
594	20452	13921
595	20486	13886
596	20520	13852
597	20557	13819
598	20593	13786
599	20627	13751
600	20663	13718
601	20697	13683
602	20730	13648
603	20765	13614
604	20799	13579
605	20833	13545
606	20868	13511
607	20906	13478
608	20940	13444
609	20977	13412
610	21012	13377
611	21045	13342
612	21081	13309
613	21116	13274
614	21149	13239
615	21184	13206
616	21215	13169
617	21248	13134
618	21281	13099
619	21317	13065
620	21349	13029
621	21385	12996
622	21419	12961
623	21457	12929
624	21490	12894
625	21525	12860
626	21559	12825
627	21593	12791
628	21632	12759
629	21668	12725
630	21701	12691
631	21737	12657
632	21772	12623
633	21803	12587
634	21837	12552
635	21874	12519
636	21908	12484
637	21945	12451
638	21978	12416
639	22014	12383
640	22050	12349
641	22085	12315
642	22121	12281
643	22155	12247
644	22192	12214
645	22226	12179
646	22259	12144
647	22292	12109
648	22327	12075
649	22363	12041
650	22397	12007
651	22432	11973
652	22467	11938
653	22502	11904
654	22538	11871
655	22574	11837
656	22610	11804
657	22644	11769
658	22678	11735
659	22714	11701
660	22748	11666
661	22782	11632
662	22814	11596
663	22851	11563
664	22884	11528
665	22916	11492
666	22953	11459
667	22989	11425
668	23022	11391
669	23059	11357
670	23092	11322
671	23124	11286
672	23159	11252
673	23196	11219
674	23231	11185
675	23269	11152
676	23300	11116
677	23335	11082
678	23376	11051
679	23412	11017
680	23449	10984
681	23485	10950
682	23519	10916
683	23553	10881
684	23589	10847
685	23625	10813
686	23659	10779
687	23697	10746
688	23730	10711
689	23766	10677
690	23802	10643
691	23833	10608
692	23868	10573
693	23905	10540
694	23941	10506
695	23975	10472
696	24012	10438
697	24046	10403
698	24080	10369
699	24115	10335
700	24152	10301
701	24187	10267
702	24222	10233
703	24257	10199
704	24291	10164
705	24326	10130
706	24361	10096
707	24396	10061
708	24433	10028
709	24469	9994
710	24503	9959
711	24539	9925
712	24576	9892
713	24610	9857
714	24646	9824
715	24683	9790
716	24719	9756
717	24754	9722
718	24788	9687
719	24825	9654
720	24858	9619
721	24893	9584
722	24927	9550
723	24961	9515
724	24996	9481
725	25028	9445
726	25065	9412
727	25099	9377
728	25134	9343
729	25167	9308
730	25200	9273
731	25236	9239
732	25271	9205
733	25307	9171
734	25341	9136
735	25379	9103
736	25412	9068
737	25448	9034
738	25484	9000
739	25516	8965
740	25552	8931
741	25586	8896
742	25620	8862
743	25658	8828
744	25692	8794
745	25725	8758
746	25760	8724
747	25795	8690
748	25829	8655
749	25862	8620
750	25899	8587
751	25934	8552
752	25967	8517
753	26002	8483
754	26035	8448
755	26071	8414
756	26106	8380
757	26142	8346
758	26179	8312
759	26214	8278
760	26249	8243
761	26284	8209
762	26320	8175
763	26354	8141
764	26387	8105
765	26424	8072
766	26465	8039
767	26499	8005
768	26534	7970
769	26568	7936
770	26602	7901
771	26637	7867
772	26674	7833
773	26706	7797
