iter	Logloss
0	0.6805495758
1	0.6685762302
2	0.6577214998
3	0.6468966097
4	0.6370451265
5	0.6284947428
6	0.6204154119
7	0.6119578765
8	0.6043856581
9	0.597019153
10	0.5892418048
11	0.5818643822
12	0.5753457828
13	0.5690848742
14	0.5631328177
15	0.557283698
16	0.551912129
17	0.5471255078
18	0.542369627
19	0.5371013292
20	0.5324232282
21	0.5280766986
22	0.5241058071
23	0.519436994
24	0.5151350968
25	0.5108240407
26	0.5070839088
27	0.5029444359
28	0.4992821673
29	0.495860282
30	0.4924287838
31	0.4889260864
32	0.485383996
33	0.4821387377
34	0.4791484028
35	0.4757474252
36	0.4725261547
37	0.4699978174
38	0.4672067411
39	0.4648594919
40	0.4618083834
41	0.4590863335
42	0.456575142
43	0.4540962384
44	0.4514527789
45	0.4489734319
46	0.4462273173
47	0.4435598051
48	0.4413601744
49	0.4391190661
50	0.4368889707
51	0.4349691627
52	0.4327079219
53	0.4305899374
54	0.4286582994
55	0.4268733935
56	0.4250280016
57	0.4229852332
58	0.4211918795
59	0.4190218911
60	0.4171359583
61	0.4154609311
62	0.4136035993
63	0.4117844181
64	0.4098452236
65	0.4082959912
66	0.4068856916
67	0.4051487682
68	0.403544432
69	0.4018590852
70	0.3999782455
71	0.3984390966
72	0.3969391985
73	0.3951668846
74	0.3934928083
75	0.3918349269
76	0.390296897
77	0.3888113796
78	0.3872371519
79	0.3858736093
80	0.3843390272
81	0.3830704411
82	0.3814856671
83	0.380070662
84	0.3787758452
85	0.3773171413
86	0.3756866523
87	0.3745418088
88	0.3732729074
89	0.3720836729
90	0.3708078969
91	0.3695097661
92	0.3681568299
93	0.3672119002
94	0.3659939151
95	0.3647405697
96	0.3635433112
97	0.3623777868
98	0.3612455124
99	0.3598226077
100	0.3587501987
101	0.3573503647
102	0.3561713548
103	0.3546441389
104	0.3536763434
105	0.3524250313
106	0.3511263421
107	0.3498509772
108	0.3485106034
109	0.3473332527
110	0.3464766341
111	0.3452982857
112	0.3443748918
113	0.343292624
114	0.3422915692
115	0.3412280819
116	0.3403241424
117	0.3391399499
118	0.3381454366
119	0.33705054
120	0.3357411093
121	0.3345930673
122	0.3331526492
123	0.3321474003
124	0.331089919
125	0.3300673326
126	0.3289474713
127	0.3279856737
128	0.3272702025
129	0.3262042334
130	0.3253137793
131	0.3245051633
132	0.3236100283
133	0.3226992106
134	0.3215365909
135	0.3207554334
136	0.3198042442
137	0.3185692538
138	0.317593256
139	0.3166394586
140	0.3157115854
141	0.314640527
142	0.3135374116
143	0.3125879699
144	0.3116985857
145	0.3106153229
146	0.3098169573
147	0.3089384739
148	0.3078574398
149	0.3069760257
150	0.3059555476
151	0.3050992478
152	0.3042049798
153	0.303223557
154	0.3024182639
155	0.3017041337
156	0.3006733984
157	0.2997216625
158	0.2990161063
159	0.2981203984
160	0.2972487186
161	0.2965265116
162	0.2956744664
163	0.2948258642
164	0.2939151558
165	0.2931585153
166	0.2923568778
167	0.291529764
168	0.2906206009
169	0.2898038625
170	0.2888590607
171	0.288028467
172	0.2873384491
173	0.2864145382
174	0.2857135161
175	0.2847393131
176	0.2839262569
177	0.2831998775
178	0.2824386234
179	0.2818135666
180	0.2807684262
181	0.2801167034
182	0.2793521082
183	0.2786232426
184	0.2779414604
185	0.2771488712
186	0.2764697143
187	0.2756689281
188	0.2749588157
189	0.2742962638
190	0.2734800658
191	0.2726929841
192	0.2718039263
193	0.2711082184
194	0.2704028826
195	0.2697782581
196	0.2690272314
197	0.2683036116
198	0.2676897533
199	0.2669114551
200	0.266136103
201	0.265581757
202	0.2649049974
203	0.264224131
204	0.2635100422
205	0.2628268778
206	0.2620866533
207	0.2615220031
208	0.26081714
209	0.2602075638
210	0.2596242632
211	0.2588891229
212	0.2581935
213	0.2573731051
214	0.2567120679
215	0.2559145456
216	0.2551638174
217	0.2546140571
218	0.25398473
219	0.2532572579
220	0.2525270202
221	0.2517846205
222	0.2509664335
223	0.2503328878
224	0.2498536133
225	0.2493509802
226	0.2486172943
227	0.2479316362
228	0.2472856067
229	0.2467812054
230	0.246196391
231	0.2456856611
232	0.245144811
233	0.2445045502
234	0.2440467317
235	0.2434312855
236	0.2427178542
237	0.2420200782
238	0.2413680984
239	0.2408241411
240	0.2401736655
241	0.2396018468
242	0.2389312255
243	0.2383358044
244	0.2376192155
245	0.2370993275
246	0.2365092449
247	0.2359916057
248	0.2354282125
249	0.2347324068
250	0.2341899797
251	0.2335065168
252	0.2329412915
253	0.2322971606
254	0.2316386888
255	0.2309747986
256	0.2303677849
257	0.2297294989
258	0.2294174324
259	0.2288095938
260	0.2281674144
261	0.2274942142
262	0.2269165467
263	0.2262752743
264	0.2257840696
265	0.2250993156
266	0.2244612588
267	0.2239311639
268	0.2234042633
269	0.2228099728
270	0.2222318528
271	0.221612713
272	0.2210620135
273	0.2204534491
274	0.2197358217
275	0.2190887212
276	0.2184973656
277	0.2178587466
278	0.2173348763
279	0.216766933
280	0.2161386849
281	0.2153647316
282	0.2147906183
283	0.2141748539
284	0.2135308122
285	0.2130450412
286	0.2124030106
287	0.2118433812
288	0.2113234202
289	0.21071997
290	0.2101883976
291	0.2095744037
292	0.209048781
293	0.2084273121
294	0.2079289477
295	0.2073527864
296	0.2068393553
297	0.2065071973
298	0.2060413774
299	0.2053932111
300	0.2048909524
301	0.2044800364
302	0.2040411231
303	0.2035418293
304	0.2029811241
305	0.2023659331
306	0.2018831176
307	0.2012331654
308	0.200695643
309	0.2001567668
310	0.1995945503
311	0.1990377386
312	0.1984685791
313	0.197855508
314	0.1972701324
315	0.196731914
316	0.1961884942
317	0.1956617255
318	0.1951366077
319	0.1946511511
320	0.1942063193
321	0.1936936182
322	0.1931693129
323	0.1925643822
324	0.192033329
325	0.1915322749
326	0.1910266865
327	0.1904541433
328	0.1899553432
329	0.189467589
330	0.1889777299
331	0.1883743755
332	0.1878918943
333	0.1873207109
334	0.1870031142
335	0.1864640471
336	0.1859217516
337	0.185624609
338	0.185137281
339	0.1844751361
340	0.1839452292
341	0.1833362479
342	0.1828451138
343	0.182444827
344	0.1820737374
345	0.1816175017
346	0.1810927409
347	0.1805952135
348	0.1800359397
349	0.1795423968
350	0.1790352369
351	0.1786222676
352	0.1781920102
353	0.1776678668
354	0.1772189638
355	0.1767352903
356	0.1761568457
357	0.1756393729
358	0.1751522551
359	0.1746430258
360	0.1742574604
361	0.1737210672
362	0.1732470371
363	0.172769906
364	0.1723099618
365	0.1717917737
366	0.171230837
367	0.1707427295
368	0.1703102855
369	0.1697311306
370	0.169255482
371	0.1687443109
372	0.1682118983
373	0.1677062069
374	0.1672536997
375	0.1667785439
376	0.1662736399
377	0.1657853961
378	0.1653173593
379	0.1649338275
380	0.1644777262
381	0.1640159719
382	0.1636114523
383	0.1631682243
384	0.1627043371
385	0.1622582803
386	0.1618514446
387	0.1615143426
388	0.1610175339
389	0.1606217665
390	0.1602261543
391	0.1597395831
392	0.1592709795
393	0.158869692
394	0.1584311773
395	0.1580110785
396	0.1576287575
397	0.1572029164
398	0.1567817425
399	0.1564142782
400	0.1559835286
401	0.1555522859
402	0.1551195278
403	0.1546992681
404	0.1542354353
405	0.1538780086
406	0.1535196726
407	0.1531114258
408	0.152623904
409	0.1522221187
410	0.1519210822
411	0.151540514
412	0.1511108575
413	0.1507758874
414	0.1504300935
415	0.1499665993
416	0.1495815703
417	0.149134071
418	0.1488201944
419	0.1485126053
420	0.1481558593
421	0.1477402844
422	0.1472935141
423	0.1468190986
424	0.1463861013
425	0.1460491769
426	0.1456418121
427	0.1452910913
428	0.1449161102
429	0.1445495976
430	0.1441850302
431	0.1438088611
432	0.1433888683
433	0.1430251815
434	0.1426577731
435	0.1422881752
436	0.1418853621
437	0.1414757934
438	0.1411687233
439	0.1407505377
440	0.1403924079
441	0.1399765133
442	0.1396153887
443	0.1391677558
444	0.1388061369
445	0.1385212138
446	0.1381671657
447	0.137796902
448	0.1374311598
449	0.137078889
450	0.1367477832
451	0.1364770053
452	0.1361948685
453	0.1358159198
454	0.135413154
455	0.1351044099
456	0.1347268693
457	0.1343872399
458	0.1340700571
459	0.1336720151
460	0.1333462334
461	0.1329961035
462	0.1327147132
463	0.1324267441
464	0.1321580492
465	0.1318569466
466	0.1315432732
467	0.1312177789
468	0.1309225177
469	0.1305316263
470	0.1301937886
471	0.1298792809
472	0.1294754215
473	0.1291347234
474	0.1288517089
475	0.1286410714
476	0.1283367512
477	0.1279672357
478	0.1276699125
479	0.1273879215
480	0.1270568494
481	0.1267209884
482	0.1264355513
483	0.1261112414
484	0.1258030864
485	0.1255229957
486	0.1251943801
487	0.1249381168
488	0.1247150491
489	0.1244587336
490	0.1241179452
491	0.1237628643
492	0.123386297
493	0.1230275198
494	0.1227047606
495	0.1224045923
496	0.1221320892
497	0.1218712594
498	0.1216266934
499	0.1213270719
500	0.1210100717
501	0.1206823368
502	0.1204241281
503	0.1200854756
504	0.1198055616
505	0.1194959529
506	0.1191718461
507	0.1189504869
508	0.1187321777
509	0.1183871638
510	0.1180428617
511	0.117747711
512	0.1174916264
513	0.117131461
514	0.1168382691
515	0.1165337458
516	0.116233136
517	0.1159278688
518	0.1156160492
519	0.1153015537
520	0.1150186953
521	0.1147081668
522	0.1144610464
523	0.1141699221
524	0.1139282692
525	0.1137667368
526	0.1134958025
527	0.1132214871
528	0.1129608333
529	0.1126383788
530	0.1123124204
531	0.1120288305
532	0.1117318935
533	0.1114044298
534	0.111156919
535	0.1108925583
536	0.1105917015
537	0.1103170586
538	0.1100769979
539	0.1097985576
540	0.1096650211
541	0.1094501894
542	0.1092857572
543	0.1089564375
544	0.1086478958
545	0.1084133405
546	0.1081873217
547	0.1080161526
548	0.1077094503
549	0.1074172686
550	0.1071479053
551	0.1068830314
552	0.1066108516
553	0.1063806746
554	0.106093998
555	0.1059091099
556	0.1056750797
557	0.1054150953
558	0.1051787856
559	0.1048914704
560	0.1047715107
561	0.1045123402
562	0.1042497933
563	0.1040670285
564	0.1037640454
565	0.1034786189
566	0.1032359232
567	0.1029699638
568	0.1027171071
569	0.1024590928
570	0.1022059978
571	0.1019491902
572	0.1017541438
573	0.1014817534
574	0.1012368507
575	0.1009887585
576	0.1007582227
577	0.1004943105
578	0.1002668998
579	0.1000221106
580	0.09978730172
581	0.09952479735
582	0.0992700469
583	0.09901597789
584	0.09878310751
585	0.09852560869
586	0.09827422514
587	0.09806735918
588	0.09783658546
589	0.09758979404
590	0.09733472295
591	0.09706314287
592	0.0968631908
593	0.09662297974
594	0.09639521228
595	0.09614878296
596	0.09589990368
597	0.09564356093
598	0.09545749392
599	0.09520570106
600	0.0950582676
601	0.09487217456
602	0.09475134186
603	0.0945179144
604	0.0942918039
605	0.09401334113
606	0.09379444639
607	0.09357657764
608	0.09333489068
609	0.09312301408
610	0.09293796578
611	0.09275218624
612	0.0925013869
613	0.09225176029
614	0.09205413566
615	0.09183950327
616	0.09169325073
617	0.09150545767
618	0.09134359165
619	0.09108977565
620	0.09091450252
621	0.09066690867
622	0.09048164815
623	0.09026348418
624	0.09005323265
625	0.0898440888
626	0.08962338943
627	0.08949358313
628	0.08925784333
629	0.08903482282
630	0.08881373545
631	0.08855282476
632	0.08834838391
633	0.0881596548
634	0.08795353917
635	0.08770782609
636	0.08753474329
637	0.08728782125
638	0.08702731501
639	0.08677761483
640	0.08656769479
641	0.0863272076
642	0.08610825772
643	0.08589228615
644	0.08566600755
645	0.08549011717
646	0.08534481363
647	0.08525873103
648	0.0850592923
649	0.08485317573
650	0.08465966879
651	0.08448635126
652	0.08425694601
653	0.08404703448
654	0.08382913091
655	0.08363873489
656	0.08343873383
657	0.08325653772
658	0.08306143264
659	0.08284315236
660	0.08264178648
661	0.08240572207
662	0.08225192221
663	0.08208404836
664	0.08191698449
665	0.08173085791
666	0.08151356166
667	0.08130762259
668	0.08110503829
669	0.08095024255
670	0.08072688295
671	0.08067630038
672	0.08046718622
673	0.08027980025
674	0.08007165107
675	0.07986454219
676	0.07978919238
677	0.07955442096
678	0.07935887476
679	0.07918039927
680	0.07904010533
681	0.07886602226
682	0.07869922648
683	0.07852742991
684	0.07840050287
685	0.07826978692
686	0.07806099715
687	0.07788011098
688	0.07770526188
689	0.07750006173
690	0.07730916924
691	0.07720265531
692	0.07699254075
693	0.07679951052
694	0.07658472687
695	0.076407904
696	0.07621737208
697	0.07608756756
698	0.07590011531
699	0.07571429713
700	0.07554443241
701	0.07533544523
702	0.07516239879
703	0.07498546348
704	0.07482431814
705	0.074685136
706	0.07450044195
707	0.07428641202
708	0.0740918174
709	0.07394338399
710	0.07379861166
711	0.07363004907
712	0.07349052703
713	0.07331510579
714	0.0731351921
715	0.07297100579
716	0.07279120869
717	0.07262835568
718	0.07245611254
719	0.07227163788
720	0.07213674616
721	0.07196130622
722	0.07180202174
723	0.07164220384
724	0.07147715025
725	0.07141072821
726	0.07122278006
727	0.07110398593
728	0.07100390951
729	0.07084211006
730	0.07070064818
731	0.07053113323
732	0.07033797824
733	0.07016178707
734	0.07001056495
735	0.06986814483
736	0.06977966321
737	0.06962986027
738	0.06949941576
739	0.06935015411
740	0.06919427628
741	0.06903205841
742	0.06884649908
743	0.06868293952
744	0.06853621418
745	0.06839554257
746	0.06825643766
747	0.06807173975
748	0.06791642879
749	0.06778007194
750	0.06765130937
751	0.06749109478
752	0.06731659586
753	0.06715278423
754	0.06700061683
755	0.06681028001
756	0.06662444696
757	0.06646018109
758	0.06630034102
759	0.06612774991
760	0.0659718204
761	0.06581084782
762	0.0656632171
763	0.06551743926
764	0.06534609349
765	0.0651843581
766	0.06499060576
767	0.06482740703
768	0.06467956722
769	0.06457890781
770	0.06446159277
771	0.06430070621
772	0.06416963865
773	0.06403309541
774	0.06388226527
775	0.0637503471
776	0.06358699347
777	0.06343390359
778	0.06329821025
779	0.06319044562
780	0.0630440786
781	0.06290439509
782	0.06275250796
783	0.06259351767
784	0.06242997431
785	0.06230433446
786	0.06217298551
787	0.06203882157
788	0.06199492632
789	0.0618504388
790	0.06169633213
791	0.06157509064
792	0.06144193664
793	0.06129401844
794	0.06121602896
795	0.06106646707
796	0.06091403101
797	0.06077535059
798	0.0606390369
799	0.06048874109
800	0.06036072196
801	0.06022865122
802	0.06012633061
803	0.05998276957
804	0.05989147609
805	0.05978396458
806	0.05968483785
807	0.05953313317
808	0.05939412905
809	0.05925468599
810	0.05911982482
811	0.05898265553
812	0.0588816035
813	0.05875365199
814	0.05861471381
815	0.05847318753
816	0.05843456439
817	0.05830614598
818	0.05816278939
819	0.05801426789
820	0.05796595858
821	0.05783306431
822	0.0577005353
823	0.05756214251
824	0.05743123989
825	0.05729050772
826	0.05716983305
827	0.05702595109
828	0.05691894095
829	0.05683354805
830	0.05667343041
831	0.05653044288
832	0.05642250801
833	0.05629351649
834	0.05617182171
835	0.05604045491
836	0.05594409809
837	0.05579956509
838	0.05566572126
839	0.0555232427
840	0.05539258266
841	0.05528094762
842	0.05517257331
843	0.05503164784
844	0.05493641596
845	0.05486367631
846	0.05474255751
847	0.05462205407
848	0.05450009287
849	0.05435782678
850	0.05423719118
851	0.05411847412
852	0.05399115775
853	0.05385606173
854	0.05372334324
855	0.05358230667
856	0.05349074381
857	0.05334614502
858	0.05324887893
859	0.05313121695
860	0.05300415499
861	0.05295433597
862	0.05284414988
863	0.05270244088
864	0.05261889978
